Name,Age,Gender,Height_cm,Weight_kg,Fitness_Goals,Fitness_Level,Days_Available,Time_per_Session_mins,Exercise_Preferences,Gym_Equipment,plan
David,29,Female,164,55,Maintain overall health and well-being,Advanced,3 days a week,30,Yoga and Pilates,"Yoga mat, resistance bands",1
John,33,Male,178,90,Build muscle and increase strength,Advanced,5 days a week,90,"Free weights, compound exercises","Bench press, squat rack",1
Michael,35,Male,178,74,Enhance flexibility and reduce stress,Beginner,5 days a week,56,Yoga and Pilates,"Stationary bike, treadmill",1
David,25,Female,160,55,Enhance flexibility and reduce stress,Intermediate,3 days a week,30,Yoga and Pilates,"Yoga mat, resistance bands",2
David,29,Female,164,57,Maintain overall health and well-being,Advanced,3 days a week,32,"Varied, including strength and cardio",Full gym access,1
John,25,Male,165,60,Build muscle and increase strength,Intermediate,3 days a week,41,"Free weights, compound exercises","Bench press, squat rack",1
Emily,37,Male,182,82,Enhance flexibility and reduce stress,Advanced,5 days a week,74,Yoga and Pilates,"Stationary bike, treadmill",2
Emily,25,Female,160,55,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,31,"Cardio, running, cycling","Stationary bike, treadmill",2
Sarah,33,Male,181,75,Lose weight and improve overall fitness,Intermediate,3 days a week,65,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Michael,28,Female,166,65,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,49,"Cardio, running, cycling","Stationary bike, treadmill",2
John,32,Male,177,88,Build muscle and increase strength,Advanced,3 days a week,89,"Free weights, compound exercises","Bench press, squat rack",2
David,39,Male,180,80,Maintain overall health and well-being,Intermediate,5 days a week,75,"Varied, including strength and cardio",Full gym access,1
Emily,31,Female,170,72,Enhance flexibility and reduce stress,Intermediate,3 days a week,61,Yoga and Pilates,"Yoga mat, resistance bands",2
Michael,28,Female,168,65,Lose weight and improve overall fitness,Intermediate,3 days a week,48,Cardio and bodyweight exercises,"Stationary bike, treadmill",1
Emily,36,Male,183,82,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,80,"Cardio, running, cycling","Yoga mat, resistance bands",1
David,32,Female,168,69,Maintain overall health and well-being,Beginner,5 days a week,51,Yoga and Pilates,"Yoga mat, resistance bands",1
Sarah,34,Male,181,87,Build muscle and increase strength,Advanced,3 days a week,85,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
Michael,35,Male,181,88,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,88,"Cardio, running, cycling","Stationary bike, treadmill",1
David,35,Male,175,74,Maintain overall health and well-being,Advanced,5 days a week,61,Yoga and Pilates,"Yoga mat, resistance bands",2
Emily,30,Female,169,73,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,64,"Cardio, running, cycling","Stationary bike, treadmill",1
Michael,25,Female,160,61,Gain endurance and boost cardiovascular health,Beginner,3 days a week,38,"Cardio, running, cycling","Stationary bike, treadmill",2
Sarah,25,Female,160,55,Lose weight and improve overall fitness,Advanced,3 days a week,30,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
Michael,28,Female,167,70,Lose weight and improve overall fitness,Advanced,3 days a week,54,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
David,40,Male,185,90,Maintain overall health and well-being,Advanced,5 days a week,90,"Varied, including strength and cardio",Full gym access,2
Emily,32,Male,172,73,Enhance flexibility and reduce stress,Advanced,3 days a week,60,Yoga and Pilates,"Stationary bike, treadmill",2
Michael,34,Male,176,76,Gain endurance and boost cardiovascular health,Advanced,3 days a week,66,"Cardio, running, cycling","Stationary bike, treadmill",2
Sarah,27,Female,166,66,Lose weight and improve overall fitness,Advanced,3 days a week,49,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Emily,33,Male,176,81,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,77,"Cardio, running, cycling","Yoga mat, resistance bands",2
Sarah,28,Female,167,69,Lose weight and improve overall fitness,Advanced,3 days a week,53,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
David,40,Male,185,88,Maintain overall health and well-being,Advanced,5 days a week,85,"Varied, including strength and cardio",Full gym access,1
Sarah,31,Male,172,84,Lose weight and improve overall fitness,Advanced,3 days a week,80,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
Michael,29,Female,167,64,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,46,"Cardio, running, cycling","Stationary bike, treadmill",2
John,25,Male,164,57,Build muscle and increase strength,Intermediate,3 days a week,31,"Free weights, compound exercises","Bench press, squat rack",2
David,34,Female,172,62,Maintain overall health and well-being,Intermediate,3 days a week,41,"Varied, including strength and cardio",Full gym access,1
Sarah,25,Female,160,55,Build muscle and increase strength,Intermediate,3 days a week,30,"Free weights, compound exercises","Treadmill, resistance bands",1
Sarah,25,Male,164,55,Build muscle and increase strength,Intermediate,3 days a week,30,"Free weights, compound exercises","Bench press, squat rack",2
Sarah,33,Male,178,89,Lose weight and improve overall fitness,Advanced,3 days a week,90,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Michael,29,Female,167,71,Gain endurance and boost cardiovascular health,Beginner,3 days a week,55,"Cardio, running, cycling","Treadmill, resistance bands",1
Emily,38,Male,182,83,Maintain overall health and well-being,Advanced,5 days a week,77,"Varied, including strength and cardio","Yoga mat, resistance bands",2
David,40,Male,185,84,Maintain overall health and well-being,Advanced,5 days a week,77,"Varied, including strength and cardio",Full gym access,1
Emily,36,Male,179,84,Enhance flexibility and reduce stress,Advanced,5 days a week,78,Yoga and Pilates,"Yoga mat, resistance bands",2
Emily,30,Female,169,72,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,62,"Cardio, running, cycling","Stationary bike, treadmill",2
Michael,33,Male,176,66,Gain endurance and boost cardiovascular health,Advanced,3 days a week,46,"Cardio, running, cycling","Stationary bike, treadmill",2
David,40,Male,185,85,Maintain overall health and well-being,Advanced,5 days a week,80,"Varied, including strength and cardio",Full gym access,2
John,25,Female,160,57,Build muscle and increase strength,Advanced,3 days a week,31,"Free weights, compound exercises","Bench press, squat rack",1
Michael,25,Female,160,55,Gain endurance and boost cardiovascular health,Advanced,3 days a week,30,Cardio and bodyweight exercises,"Stationary bike, treadmill",1
Sarah,36,Male,185,88,Lose weight and improve overall fitness,Intermediate,3 days a week,86,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
David,32,Male,174,63,Enhance flexibility and reduce stress,Intermediate,3 days a week,45,Yoga and Pilates,"Yoga mat, resistance bands",1
Michael,28,Female,167,64,Lose weight and improve overall fitness,Advanced,3 days a week,44,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
David,34,Male,174,71,Maintain overall health and well-being,Advanced,5 days a week,54,Yoga and Pilates,"Yoga mat, resistance bands",1
Michael,27,Female,165,55,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,30,"Cardio, running, cycling","Stationary bike, treadmill",2
Michael,34,Male,179,74,Gain endurance and boost cardiovascular health,Advanced,3 days a week,61,"Cardio, running, cycling","Stationary bike, treadmill",2
Michael,29,Female,168,68,Lose weight and improve overall fitness,Advanced,3 days a week,52,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
Michael,33,Male,175,76,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,68,"Cardio, running, cycling","Stationary bike, treadmill",1
David,37,Male,180,83,Maintain overall health and well-being,Advanced,5 days a week,78,"Varied, including strength and cardio",Full gym access,2
Sarah,28,Male,168,68,Lose weight and improve overall fitness,Advanced,3 days a week,51,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
David,39,Male,181,82,Maintain overall health and well-being,Beginner,5 days a week,72,"Varied, including strength and cardio",Full gym access,2
Emily,34,Male,177,82,Gain endurance and boost cardiovascular health,Advanced,3 days a week,77,"Cardio, running, cycling","Stationary bike, treadmill",1
John,33,Male,179,88,Build muscle and increase strength,Advanced,3 days a week,84,Cardio and bodyweight exercises,"Bench press, squat rack",2
John,25,Female,160,56,Build muscle and increase strength,Beginner,3 days a week,30,"Free weights, compound exercises","Bench press, squat rack",1
Emily,40,Male,185,85,Enhance flexibility and reduce stress,Intermediate,5 days a week,80,Yoga and Pilates,"Yoga mat, resistance bands",2
David,27,Female,160,55,Maintain overall health and well-being,Advanced,3 days a week,30,"Varied, including strength and cardio",Full gym access,1
Michael,34,Male,178,83,Gain endurance and boost cardiovascular health,Advanced,3 days a week,78,"Cardio, running, cycling","Stationary bike, treadmill",2
John,25,Female,160,55,Build muscle and increase strength,Beginner,3 days a week,30,"Free weights, compound exercises","Bench press, squat rack",2
John,25,Female,160,66,Build muscle and increase strength,Advanced,3 days a week,49,"Free weights, compound exercises","Bench press, squat rack",2
Emily,34,Male,175,78,Enhance flexibility and reduce stress,Advanced,5 days a week,67,Yoga and Pilates,"Stationary bike, treadmill",1
Sarah,29,Male,170,75,Lose weight and improve overall fitness,Advanced,3 days a week,65,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
David,39,Male,181,83,Maintain overall health and well-being,Beginner,5 days a week,74,"Varied, including strength and cardio",Full gym access,2
Sarah,31,Male,172,80,Lose weight and improve overall fitness,Beginner,5 days a week,70,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
Michael,38,Male,184,90,Gain endurance and boost cardiovascular health,Beginner,5 days a week,89,"Cardio, running, cycling","Stationary bike, treadmill",1
David,37,Male,178,63,Maintain overall health and well-being,Intermediate,5 days a week,41,"Varied, including strength and cardio",Full gym access,1
Sarah,27,Female,163,75,Lose weight and improve overall fitness,Beginner,3 days a week,63,Cardio and bodyweight exercises,"Bench press, squat rack",2
Sarah,25,Female,160,55,Lose weight and improve overall fitness,Advanced,3 days a week,30,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
Sarah,29,Male,170,73,Lose weight and improve overall fitness,Advanced,3 days a week,60,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Emily,30,Female,167,64,Enhance flexibility and reduce stress,Beginner,3 days a week,41,Yoga and Pilates,"Yoga mat, resistance bands",1
Michael,31,Male,172,63,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,44,"Cardio, running, cycling","Stationary bike, treadmill",1
Emily,36,Male,180,86,Enhance flexibility and reduce stress,Advanced,3 days a week,84,Yoga and Pilates,"Yoga mat, resistance bands",1
Michael,30,Male,171,68,Lose weight and improve overall fitness,Advanced,3 days a week,50,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
Michael,25,Female,160,64,Gain endurance and boost cardiovascular health,Advanced,3 days a week,46,"Cardio, running, cycling","Stationary bike, treadmill",2
Michael,28,Male,169,60,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,37,"Cardio, running, cycling","Stationary bike, treadmill",1
Emily,26,Female,160,58,Enhance flexibility and reduce stress,Beginner,3 days a week,32,Yoga and Pilates,"Yoga mat, resistance bands",2
Michael,30,Male,170,67,Gain endurance and boost cardiovascular health,Advanced,3 days a week,50,"Cardio, running, cycling","Stationary bike, treadmill",2
David,40,Male,185,90,Maintain overall health and well-being,Intermediate,5 days a week,90,"Varied, including strength and cardio",Full gym access,1
Michael,32,Male,174,65,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,46,"Cardio, running, cycling","Stationary bike, treadmill",1
Michael,30,Male,173,74,Lose weight and improve overall fitness,Intermediate,3 days a week,66,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
John,25,Male,162,63,Build muscle and increase strength,Intermediate,3 days a week,44,"Free weights, compound exercises","Bench press, squat rack",2
Emily,34,Male,176,73,Enhance flexibility and reduce stress,Advanced,5 days a week,57,Yoga and Pilates,"Stationary bike, treadmill",2
David,40,Male,185,90,Maintain overall health and well-being,Intermediate,5 days a week,90,"Varied, including strength and cardio",Full gym access,1
David,40,Male,185,88,Maintain overall health and well-being,Intermediate,5 days a week,88,"Varied, including strength and cardio",Full gym access,2
Michael,31,Male,174,73,Lose weight and improve overall fitness,Intermediate,3 days a week,63,Cardio and bodyweight exercises,"Stationary bike, treadmill",1
Emily,38,Male,185,85,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,82,"Cardio, running, cycling","Stationary bike, treadmill",2
David,38,Male,181,70,Maintain overall health and well-being,Intermediate,3 days a week,54,"Varied, including strength and cardio",Full gym access,2
Michael,33,Male,174,78,Gain endurance and boost cardiovascular health,Beginner,5 days a week,65,"Cardio, running, cycling","Stationary bike, treadmill",2
Sarah,29,Male,172,61,Lose weight and improve overall fitness,Intermediate,3 days a week,38,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Michael,27,Female,163,66,Gain endurance and boost cardiovascular health,Advanced,3 days a week,48,"Cardio, running, cycling","Stationary bike, treadmill",1
Sarah,27,Male,168,67,Build muscle and increase strength,Intermediate,3 days a week,52,"Free weights, compound exercises","Bench press, squat rack",1
Michael,32,Male,174,76,Gain endurance and boost cardiovascular health,Advanced,3 days a week,66,"Cardio, running, cycling","Stationary bike, treadmill",1
David,36,Female,173,57,Maintain overall health and well-being,Advanced,5 days a week,30,"Varied, including strength and cardio",Full gym access,1
John,31,Male,180,79,Build muscle and increase strength,Intermediate,3 days a week,75,"Free weights, compound exercises","Bench press, squat rack",1
Michael,34,Male,177,81,Gain endurance and boost cardiovascular health,Advanced,3 days a week,74,"Cardio, running, cycling","Stationary bike, treadmill",2
Michael,31,Male,173,72,Gain endurance and boost cardiovascular health,Advanced,3 days a week,56,"Cardio, running, cycling","Treadmill, resistance bands",2
Michael,37,Male,185,90,Gain endurance and boost cardiovascular health,Advanced,5 days a week,90,"Cardio, running, cycling","Stationary bike, treadmill",2
John,25,Male,166,71,Build muscle and increase strength,Advanced,3 days a week,58,"Free weights, compound exercises","Bench press, squat rack",1
Michael,37,Male,182,88,Gain endurance and boost cardiovascular health,Advanced,5 days a week,86,"Cardio, running, cycling","Stationary bike, treadmill",2
Sarah,25,Female,164,62,Build muscle and increase strength,Intermediate,3 days a week,44,"Free weights, compound exercises","Bench press, squat rack",2
John,25,Female,162,68,Build muscle and increase strength,Beginner,3 days a week,46,"Free weights, compound exercises","Bench press, squat rack",1
Emily,31,Female,168,72,Enhance flexibility and reduce stress,Advanced,3 days a week,61,Yoga and Pilates,"Yoga mat, resistance bands",2
David,36,Male,177,76,Maintain overall health and well-being,Advanced,5 days a week,64,"Varied, including strength and cardio",Full gym access,2
Michael,34,Male,176,81,Gain endurance and boost cardiovascular health,Advanced,5 days a week,73,"Cardio, running, cycling","Stationary bike, treadmill",1
Michael,33,Male,177,74,Lose weight and improve overall fitness,Intermediate,3 days a week,61,"Cardio, running, cycling","Stationary bike, treadmill",2
David,36,Male,178,80,Maintain overall health and well-being,Advanced,5 days a week,72,"Varied, including strength and cardio",Full gym access,1
Michael,33,Male,176,80,Lose weight and improve overall fitness,Advanced,3 days a week,72,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
David,40,Male,184,79,Maintain overall health and well-being,Advanced,5 days a week,68,"Varied, including strength and cardio",Full gym access,2
Michael,37,Male,185,82,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,76,"Cardio, running, cycling","Stationary bike, treadmill",1
Michael,31,Male,173,80,Lose weight and improve overall fitness,Advanced,3 days a week,73,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
David,40,Male,185,90,Maintain overall health and well-being,Intermediate,5 days a week,90,"Varied, including strength and cardio",Full gym access,1
Michael,34,Male,179,72,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,58,"Cardio, running, cycling","Stationary bike, treadmill",2
Sarah,25,Female,160,55,Build muscle and increase strength,Advanced,3 days a week,30,"Free weights, compound exercises","Bench press, squat rack",2
Michael,31,Male,174,59,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,36,"Cardio, running, cycling","Stationary bike, treadmill",1
Michael,29,Female,167,65,Gain endurance and boost cardiovascular health,Advanced,3 days a week,44,"Cardio, running, cycling","Stationary bike, treadmill",1
Sarah,27,Female,167,76,Build muscle and increase strength,Advanced,3 days a week,67,"Free weights, compound exercises","Bench press, squat rack",2
Sarah,35,Male,184,85,Build muscle and increase strength,Intermediate,3 days a week,82,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Sarah,26,Female,165,55,Lose weight and improve overall fitness,Intermediate,3 days a week,30,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
David,38,Male,182,84,Maintain overall health and well-being,Advanced,5 days a week,79,"Varied, including strength and cardio",Full gym access,2
Emily,29,Female,166,57,Enhance flexibility and reduce stress,Advanced,3 days a week,30,Yoga and Pilates,"Yoga mat, resistance bands",1
John,25,Female,160,73,Build muscle and increase strength,Beginner,3 days a week,58,"Free weights, compound exercises","Bench press, squat rack",2
Emily,38,Male,184,80,Enhance flexibility and reduce stress,Advanced,5 days a week,69,Yoga and Pilates,"Yoga mat, resistance bands",1
Emily,33,Male,174,65,Enhance flexibility and reduce stress,Intermediate,3 days a week,45,Yoga and Pilates,"Yoga mat, resistance bands",2
David,32,Female,167,62,Maintain overall health and well-being,Advanced,3 days a week,41,"Varied, including strength and cardio",Full gym access,2
Michael,40,Male,185,90,Gain endurance and boost cardiovascular health,Intermediate,5 days a week,90,"Cardio, running, cycling","Stationary bike, treadmill",1
Michael,26,Female,162,55,Gain endurance and boost cardiovascular health,Advanced,3 days a week,30,"Cardio, running, cycling","Stationary bike, treadmill",2
Emily,32,Male,173,68,Enhance flexibility and reduce stress,Intermediate,3 days a week,52,Yoga and Pilates,"Yoga mat, resistance bands",2
Michael,38,Male,185,81,Gain endurance and boost cardiovascular health,Advanced,5 days a week,71,"Cardio, running, cycling","Stationary bike, treadmill",2
Emily,34,Male,176,75,Enhance flexibility and reduce stress,Advanced,3 days a week,63,Yoga and Pilates,"Stationary bike, treadmill",1
Emily,28,Female,162,55,Enhance flexibility and reduce stress,Advanced,3 days a week,30,Yoga and Pilates,"Yoga mat, resistance bands",2
John,40,Male,185,90,Build muscle and increase strength,Advanced,5 days a week,90,Cardio and bodyweight exercises,"Bench press, squat rack",1
David,39,Male,180,74,Maintain overall health and well-being,Advanced,5 days a week,60,"Varied, including strength and cardio",Full gym access,1
David,40,Male,185,89,Enhance flexibility and reduce stress,Intermediate,3 days a week,90,Yoga and Pilates,Full gym access,2
Sarah,30,Male,171,77,Lose weight and improve overall fitness,Beginner,5 days a week,63,Cardio and bodyweight exercises,"Bench press, squat rack",1
Michael,30,Female,169,72,Gain endurance and boost cardiovascular health,Advanced,3 days a week,58,"Cardio, running, cycling","Treadmill, resistance bands",2
Michael,34,Male,179,86,Lose weight and improve overall fitness,Intermediate,3 days a week,86,"Cardio, running, cycling","Stationary bike, treadmill",2
David,31,Female,166,73,Maintain overall health and well-being,Advanced,3 days a week,61,Yoga and Pilates,"Yoga mat, resistance bands",2
Emily,37,Male,183,84,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,80,Yoga and Pilates,"Yoga mat, resistance bands",1
Emily,27,Female,162,69,Gain endurance and boost cardiovascular health,Advanced,3 days a week,55,"Cardio, running, cycling","Stationary bike, treadmill",1
Emily,32,Male,173,72,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,60,"Cardio, running, cycling","Stationary bike, treadmill",2
